#x-axis,1,2
#second,Volt,Volt
-7.70000E-03,+663.31658E-03,+1.40954772E+00
-7.69000E-03,+680.90452E-03,+1.54773868E+00
-7.68000E-03,+663.31658E-03,+1.44472360E+00
-7.67000E-03,+645.72864E-03,+987.43718E-03
-7.66000E-03,+657.03517E-03,+511.30653E-03
-7.65000E-03,+650.75376E-03,-6.28141E-03
-7.64000E-03,+663.31658E-03,-261.30653E-03
-7.63000E-03,+655.77889E-03,-287.68844E-03
-7.62000E-03,+631.90954E-03,-109.29648E-03
-7.61000E-03,+643.21607E-03,+286.43216E-03
-7.60000E-03,+643.21607E-03,+825.37688E-03
-7.59000E-03,+643.21607E-03,+1.17085426E+00
-7.58000E-03,+636.93467E-03,+1.33165828E+00
-7.57000E-03,+646.98492E-03,+1.26633164E+00
-7.56000E-03,+643.21607E-03,+1.00251255E+00
-7.55000E-03,+635.67839E-03,+665.82914E-03
-7.54000E-03,+623.11557E-03,+223.61809E-03
-7.53000E-03,+620.60301E-03,-46.48241E-03
-7.52000E-03,+623.11557E-03,-140.70352E-03
-7.51000E-03,+603.01507E-03,-42.71357E-03
-7.50000E-03,+623.11557E-03,+302.76382E-03
-7.49000E-03,+610.55276E-03,+645.72864E-03
-7.48000E-03,+603.01507E-03,+986.18089E-03
-7.47000E-03,+603.01507E-03,+1.16331657E+00
-7.46000E-03,+597.98994E-03,+1.17462310E+00
-7.45000E-03,+584.17085E-03,+991.20602E-03
-7.44000E-03,+582.91457E-03,+741.20602E-03
-7.43000E-03,+582.91457E-03,+369.34673E-03
-7.42000E-03,+562.81406E-03,+144.47236E-03
-7.41000E-03,+603.01507E-03,+31.40703E-03
-7.40000E-03,+582.91457E-03,+80.40201E-03
-7.39000E-03,+569.09547E-03,+258.79397E-03
-7.38000E-03,+582.91457E-03,+507.53768E-03
-7.37000E-03,+582.91457E-03,+776.38190E-03
-7.36000E-03,+562.81406E-03,+1.00502511E+00
-7.35000E-03,+565.32663E-03,+1.04145728E+00
-7.34000E-03,+562.81406E-03,+948.49245E-03
-7.33000E-03,+570.35175E-03,+747.48743E-03
-7.32000E-03,+562.81406E-03,+491.20602E-03
-7.31000E-03,+575.37688E-03,+288.94472E-03
-7.30000E-03,+546.48241E-03,+144.47236E-03
-7.29000E-03,+542.71356E-03,+121.85930E-03
-7.28000E-03,+561.55778E-03,+261.30653E-03
-7.27000E-03,+559.04522E-03,+487.43718E-03
-7.26000E-03,+542.71356E-03,+694.72361E-03
-7.25000E-03,+533.91959E-03,+864.32160E-03
-7.24000E-03,+542.71356E-03,+944.72361E-03
-7.23000E-03,+542.71356E-03,+891.95979E-03
-7.22000E-03,+537.68844E-03,+737.43718E-03
-7.21000E-03,+540.20100E-03,+569.09547E-03
-7.20000E-03,+522.61306E-03,+400.75376E-03
-7.19000E-03,+525.12562E-03,+261.30653E-03
-7.18000E-03,+522.61306E-03,+231.15578E-03
-7.17000E-03,+513.81909E-03,+316.58291E-03
-7.16000E-03,+522.61306E-03,+453.51758E-03
-7.15000E-03,+515.07537E-03,+620.60301E-03
-7.14000E-03,+502.51256E-03,+773.86934E-03
-7.13000E-03,+520.10050E-03,+861.80904E-03
-7.12000E-03,+502.51256E-03,+804.02009E-03
-7.11000E-03,+502.51256E-03,+760.05024E-03
-7.10000E-03,+502.51256E-03,+616.83416E-03
-7.09000E-03,+493.71859E-03,+473.61809E-03
-7.08000E-03,+491.20602E-03,+360.55276E-03
-7.07000E-03,+502.51256E-03,+314.07035E-03
-7.06000E-03,+486.18090E-03,+336.68341E-03
-7.05000E-03,+482.41206E-03,+457.28643E-03
-7.04000E-03,+501.25628E-03,+582.91457E-03
-7.03000E-03,+482.41206E-03,+706.03014E-03
-7.02000E-03,+491.20602E-03,+763.81909E-03
-7.01000E-03,+462.31155E-03,+783.91959E-03
-7.00000E-03,+472.36180E-03,+752.51255E-03
-6.99000E-03,+482.41206E-03,+649.49748E-03
-6.98000E-03,+462.31155E-03,+496.23115E-03
-6.97000E-03,+462.31155E-03,+437.18592E-03
-6.96000E-03,+462.31155E-03,+380.65326E-03
-6.95000E-03,+444.72361E-03,+384.42211E-03
-6.94000E-03,+462.31155E-03,+432.16080E-03
-6.93000E-03,+449.74874E-03,+554.02009E-03
-6.92000E-03,+462.31155E-03,+663.31658E-03
-6.91000E-03,+448.49246E-03,+716.08039E-03
-6.90000E-03,+442.21105E-03,+763.81909E-03
-6.89000E-03,+442.21105E-03,+727.38693E-03
-6.88000E-03,+442.21105E-03,+621.85929E-03
-6.87000E-03,+442.21105E-03,+556.53266E-03
-6.86000E-03,+427.13567E-03,+456.03015E-03
-6.85000E-03,+433.41708E-03,+422.11055E-03
-6.84000E-03,+430.90452E-03,+402.01005E-03
-6.83000E-03,+434.67336E-03,+462.31155E-03
-6.82000E-03,+425.87939E-03,+537.68844E-03
-6.81000E-03,+439.69849E-03,+620.60301E-03
-6.80000E-03,+422.11055E-03,+663.31658E-03
-6.79000E-03,+404.52261E-03,+703.51758E-03
-6.78000E-03,+415.82914E-03,+683.41708E-03
-6.77000E-03,+409.54773E-03,+626.88442E-03
-6.76000E-03,+430.90452E-03,+541.45728E-03
-6.75000E-03,+414.57286E-03,+496.23115E-03
-6.74000E-03,+405.77889E-03,+462.31155E-03
-6.73000E-03,+402.01005E-03,+459.79899E-03
-6.72000E-03,+381.90954E-03,+482.41206E-03
-6.71000E-03,+381.90954E-03,+525.12562E-03
-6.70000E-03,+395.72864E-03,+592.96482E-03
-6.69000E-03,+393.21608E-03,+654.52261E-03
-6.68000E-03,+391.95979E-03,+683.41708E-03
-6.67000E-03,+381.90954E-03,+669.59798E-03
-6.66000E-03,+376.88442E-03,+626.88442E-03
-6.65000E-03,+381.90954E-03,+566.58291E-03
-6.64000E-03,+381.90954E-03,+541.45728E-03
